"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC20A1",0.0315459252834683,0.683785556307031,0.65,0.545,1
"USF2",0.031670843116406,0.351007206589995,0.707,0.614,1
"HSP90AA1",0.0317884536901081,0.278320596749537,1,1,1
"LEO1",0.0317899981835729,0.266954775205137,0.371,0.227,1
"ATF7IP",0.0318075242942059,0.860663318391111,0.293,0.17,1
"TMEM167A",0.0318377887384668,0.342748638471964,0.8,0.705,1
"XPR1",0.0318903684433243,0.429684275243245,0.321,0.182,1
"RAB11FIP4",0.0319823304154352,0.774933444365226,0.286,0.159,1
"C1orf56",0.0319989459338813,-0.384970290175626,0.693,0.818,1
"AR",0.0320092552447694,-0.437769920802788,0.743,0.864,1
"SLC25A29",0.0320710287874886,0.681620972193709,0.4,0.261,1
"RNASEH2B",0.0320797540638332,0.409583069186736,0.493,0.375,1
"RETREG3",0.0320990204918198,0.863580801773405,0.3,0.182,1
"CMAS",0.0321969163444506,0.578076115135916,0.536,0.409,1
"ATP9A",0.0322034781365649,0.703606997219775,0.3,0.17,1
"SNHG10",0.0323049415861082,0.561474147798787,0.321,0.182,1
"FAM102A",0.0323086606699597,-0.515993940801547,0.836,0.852,1
"REV3L",0.0323310022833719,0.578076115135916,0.357,0.216,1
"PMM1",0.0323559191311483,0.480391237272944,0.471,0.33,1
"IFT81",0.0323599600224926,0.258595340667297,0.371,0.205,1
"PHTF2",0.0323871784878148,0.753360032416875,0.307,0.182,1
"SEPTIN6",0.032572853238966,1.16664986940945,0.257,0.136,1
"UCP2",0.0325902455258794,0.453005349477864,0.671,0.625,1
"COQ8B",0.0326350189326532,0.581687368688295,0.293,0.159,1
"PRPF3",0.0326548157019207,0.580692063342928,0.393,0.261,1
"MEX3C",0.0328504873008456,0.445625819112267,0.3,0.159,1
"NIT2",0.0329059223599424,0.342639545875528,0.821,0.739,1
"VPS4A",0.0329448428128705,0.408151113693604,0.536,0.398,1
"C16orf58",0.0329726708616699,0.578076115135916,0.414,0.273,1
"CCDC106",0.0329871724622772,0.552541023028779,0.307,0.17,1
"CHERP",0.0330055317225901,0.708660224946061,0.3,0.17,1
"NTRK2",0.0330447465617408,0.402073528494954,0.921,0.875,1
"NOP14",0.0330695531072091,0.476989990021602,0.357,0.216,1
"MYBBP1A",0.0330931753580941,0.822001698022006,0.257,0.136,1
"TMEM167B",0.0331390429461413,0.316728085930009,0.514,0.364,1
"ABCC11",0.0331599935847607,0.879041847705965,0.279,0.159,1
"FPGT",0.0331772246034162,0.780810010701896,0.257,0.136,1
"DPH7",0.0331772246034162,0.780810010701896,0.257,0.136,1
"EXOG",0.0332294556304853,0.635003183220751,0.264,0.136,1
"ZMYM6",0.0332336477909087,0.586488354952116,0.264,0.136,1
"KYAT3",0.0332413874397679,0.625604485218502,0.307,0.17,1
"RPL22L1",0.033355845229293,-0.432301964028597,0.821,0.898,1
